model_name,release_days_since_2023,benchmark_score,agentic_score,compute_log10_flops,open_weights,bio_weapon_uplift,nuclear_miscalc_escalation,grid_financial_cascade,climate_tipping_cascade,autonomous_weapons_spiral,epistemic_collapse
GPT-3.5 Turbo,180,55,20,23.9,0,16.4,0,7,18.6,5.6,0
GPT-4,365,72,35,25.3,0,31.8,40.7,34.5,17.3,37.7,30.2
GPT-4 Turbo,400,74,37,25.3,0,28.2,48.3,24.9,24.1,34.8,39.2
Claude 2.1,380,68,30,25,0,22.6,24.3,30.5,23.8,31.5,25.6
Claude 3 Haiku,410,65,33,24.6,0,13.6,14.5,19.6,36.5,23.4,11.2
Claude 3 Sonnet,415,71,37,25.1,0,24.7,29.7,24.7,16.2,32.2,29.5
Claude 3 Opus,420,75,40,25.4,0,32.9,33.5,28.6,35,36.2,33.7
Gemini 1.0 Pro,400,67,32,24.9,0,30.1,26,39.7,23.8,22.3,38.6
Gemini 1.5 Flash,445,69,39,24.7,0,37.3,24.1,29,25.6,35.8,21.4
Gemini 1.5 Pro,440,74,42,25.4,0,26.4,39.5,23,27,41.7,32.8
Mistral Large,460,73,41,25,0,34.2,37.3,32,27.5,39.4,44.4
Llama 3 8B,475,58,28,23.8,1,36.6,15.8,34.1,22.5,38.3,37.4
Llama 3 70B,480,70,38,24.8,1,61.2,40.7,41.4,37.5,51.5,50.2
GPT-4o mini,515,71,44,24.9,0,29.8,47.5,32.9,22.1,35,36
GPT-4o,520,79,50,25.6,0,30,43.9,32.9,35.3,48.4,45.3
Claude 3.5 Haiku,555,76,49,25,0,41.3,37.8,32.7,22.4,39.3,45.9
Claude 3.5 Sonnet,560,83,58,25.6,0,41.6,47.3,37.1,29.3,52.8,44.3
Llama 3.1 8B,535,60,30,23.9,1,42.3,31,40.4,18,28.9,43.9
Llama 3.1 405B,540,77,48,25.5,1,62.4,35.9,54.1,35.7,64.1,48.7
Grok 2,580,80,52,25.5,0,37.9,45.5,22.6,37.5,50.6,48.2
Gemini 2.0 Flash,615,81,57,25.3,0,45,44.4,40.4,28.3,50,49.9
Gemini 2.0,620,85,62,25.8,0,47.5,63.1,34.2,30.1,64.5,50
o1-mini,590,82,50,25.4,0,44.6,43,25.2,21.9,35.1,47
o1,600,88,55,25.9,0,52.6,60,37.7,30,43,49.7
Claude 3.7 Sonnet,680,89,68,25.9,0,61.2,50.4,44.6,23.2,68.4,53.4
DeepSeek V3,650,84,60,25.2,1,72.7,57.7,54.3,28.7,64.8,65.4
Qwen 2.5 72B,660,82,56,25,1,62.9,53.1,61.3,34.4,62.6,58.6
Llama 4 Scout,695,81,55,25.2,1,78.5,46.4,48.5,41.7,53.6,67.7
Llama 4,700,86,63,25.7,1,77.5,59.5,59.1,53.4,69.4,65.1
o3-mini,730,90,65,25.7,0,59.6,63.3,40,28.8,74.8,65.3
o3,760,93,72,26.2,0,61.2,60.2,47.8,43.6,74.8,59.5
Gemini 2.5 Flash,775,88,69,25.6,0,50.9,47.2,46.7,33.8,65.5,58.6
