release_days_since_2023,benchmark_score,agentic_score,compute_log10_flops,open_weights,autonomous_weapons_spiral
180,55.0,20.0,23.9,0,5.6
365,72.0,35.0,25.3,0,37.7
400,74.0,37.0,25.3,0,34.8
380,68.0,30.0,25.0,0,31.5
410,65.0,33.0,24.6,0,23.4
415,71.0,37.0,25.1,0,32.2
420,75.0,40.0,25.4,0,36.2
400,67.0,32.0,24.9,0,22.3
445,69.0,39.0,24.7,0,35.8
440,74.0,42.0,25.4,0,41.7
460,73.0,41.0,25.0,0,39.4
475,58.0,28.0,23.8,1,38.3
480,70.0,38.0,24.8,1,51.5
515,71.0,44.0,24.9,0,35.0
520,79.0,50.0,25.6,0,48.4
555,76.0,49.0,25.0,0,39.3
560,83.0,58.0,25.6,0,52.8
535,60.0,30.0,23.9,1,28.9
540,77.0,48.0,25.5,1,64.1
580,80.0,52.0,25.5,0,50.6
615,81.0,57.0,25.3,0,50.0
620,85.0,62.0,25.8,0,64.5
590,82.0,50.0,25.4,0,35.1
600,88.0,55.0,25.9,0,43.0
680,89.0,68.0,25.9,0,68.4
650,84.0,60.0,25.2,1,64.8
660,82.0,56.0,25.0,1,62.6
695,81.0,55.0,25.2,1,53.6
700,86.0,63.0,25.7,1,69.4
730,90.0,65.0,25.7,0,74.8
760,93.0,72.0,26.2,0,74.8
775,88.0,69.0,25.6,0,65.5
780,92.0,74.0,26.1,0,67.9
800,94.0,80.0,26.2,0,72.7
810,95.0,82.0,26.4,0,64.6
820,93.0,78.0,26.0,0,74.9
850,91.0,76.0,25.6,1,85.8
880,93.0,81.0,26.0,0,66.5
900,97.0,88.0,26.6,0,79.7
950,98.0,92.0,26.7,0,80.5
920,97.0,90.0,26.6,0,79.3
940,95.0,85.0,26.3,1,91.4
175,52.40003973439876,22.251353587419377,23.9,0,0.0
183,57.351411790978034,14.14689443403849,23.9,0,10.3
180,55.319601007918216,19.051272222969253,23.9,0,12.7
185,54.95799710623928,17.44086821727926,23.9,0,5.8
365,73.94447983857238,35.198092092683645,25.3,0,17.7
364,74.81810301742009,36.40252802675614,25.3,0,27.6
364,72.92187696020625,32.1233522,25.3,0,38.0
362,74.19612575326818,34.85022226704124,25.3,0,15.8
396,72.29767613899014,40.66762401602209,25.3,0,33.1
403,73.61367629,35.71501653351068,25.3,0,26.4
403,75.33077296388338,38.09633219309224,25.3,0,40.2
397,75.03183152898997,38.29246300902365,25.3,0,31.2
385,66.98396245903847,28.463271812785383,25.0,0,28.0
383,65.96556817938031,31.847938267726487,25.0,0,30.2
383,67.71513135586281,27.479530569112416,25.0,0,36.4
377,65.93879696,31.951778363474105,25.0,0,25.5
