release_days_since_2023,benchmark_score,agentic_score,compute_log10_flops,open_weights,climate_tipping_cascade
180,55.0,20.0,23.9,0,18.6
365,72.0,35.0,25.3,0,17.3
400,74.0,37.0,25.3,0,24.1
380,68.0,30.0,25.0,0,23.8
410,65.0,33.0,24.6,0,36.5
415,71.0,37.0,25.1,0,16.2
420,75.0,40.0,25.4,0,35.0
400,67.0,32.0,24.9,0,23.8
445,69.0,39.0,24.7,0,25.6
440,74.0,42.0,25.4,0,27.0
460,73.0,41.0,25.0,0,27.5
475,58.0,28.0,23.8,1,22.5
480,70.0,38.0,24.8,1,37.5
515,71.0,44.0,24.9,0,22.1
520,79.0,50.0,25.6,0,35.3
555,76.0,49.0,25.0,0,22.4
560,83.0,58.0,25.6,0,29.3
535,60.0,30.0,23.9,1,18.0
540,77.0,48.0,25.5,1,35.7
580,80.0,52.0,25.5,0,37.5
615,81.0,57.0,25.3,0,28.3
620,85.0,62.0,25.8,0,30.1
590,82.0,50.0,25.4,0,21.9
600,88.0,55.0,25.9,0,30.0
680,89.0,68.0,25.9,0,23.2
650,84.0,60.0,25.2,1,28.7
660,82.0,56.0,25.0,1,34.4
695,81.0,55.0,25.2,1,41.7
700,86.0,63.0,25.7,1,53.4
730,90.0,65.0,25.7,0,28.8
760,93.0,72.0,26.2,0,43.6
775,88.0,69.0,25.6,0,33.8
780,92.0,74.0,26.1,0,33.9
800,94.0,80.0,26.2,0,38.5
810,95.0,82.0,26.4,0,37.2
820,93.0,78.0,26.0,0,35.7
850,91.0,76.0,25.6,1,36.1
880,93.0,81.0,26.0,0,27.3
900,97.0,88.0,26.6,0,29.5
950,98.0,92.0,26.7,0,43.7
920,97.0,90.0,26.6,0,37.3
940,95.0,85.0,26.3,1,39.0
175,52.40003973439876,22.251353587419377,23.9,0,15.9
183,57.351411790978034,14.14689443403849,23.9,0,20.7
180,55.319601007918216,19.051272222969253,23.9,0,17.1
185,54.95799710623928,17.44086821727926,23.9,0,12.0
365,73.94447983857238,35.198092092683645,25.3,0,32.4
364,74.81810301742009,36.40252802675614,25.3,0,34.7
364,72.92187696020625,32.1233522,25.3,0,27.7
362,74.19612575326818,34.85022226704124,25.3,0,30.8
396,72.29767613899014,40.66762401602209,25.3,0,32.8
403,73.61367629,35.71501653351068,25.3,0,32.0
403,75.33077296388338,38.09633219309224,25.3,0,29.3
397,75.03183152898997,38.29246300902365,25.3,0,29.1
385,66.98396245903847,28.463271812785383,25.0,0,26.1
383,65.96556817938031,31.847938267726487,25.0,0,16.5
383,67.71513135586281,27.479530569112416,25.0,0,27.2
377,65.93879696,31.951778363474105,25.0,0,14.9
415,66.35788567076298,31.00347087813392,24.6,0,17.1
409,65.58040331,33.350057427422186,24.6,0,29.7
414,67.17857194487047,33.670786646324046,24.6,0,27.1
408,66.69728390767973,33.20273720846667,24.6,0,30.9
418,72.57822056459635,32.62853254,25.1,0,22.7
418,70.20082195910675,35.588882037121614,25.1,0,17.4
415,70.31214437193329,41.48482393370319,25.1,0,23.2
