release_days_since_2023,benchmark_score,agentic_score,compute_log10_flops,open_weights,epistemic_collapse
180,55.0,20.0,23.9,0,0.0
365,72.0,35.0,25.3,0,30.2
400,74.0,37.0,25.3,0,39.2
380,68.0,30.0,25.0,0,25.6
410,65.0,33.0,24.6,0,11.2
415,71.0,37.0,25.1,0,29.5
420,75.0,40.0,25.4,0,33.7
400,67.0,32.0,24.9,0,38.6
445,69.0,39.0,24.7,0,21.4
440,74.0,42.0,25.4,0,32.8
460,73.0,41.0,25.0,0,44.4
475,58.0,28.0,23.8,1,37.4
480,70.0,38.0,24.8,1,50.2
515,71.0,44.0,24.9,0,36.0
520,79.0,50.0,25.6,0,45.3
555,76.0,49.0,25.0,0,45.9
560,83.0,58.0,25.6,0,44.3
535,60.0,30.0,23.9,1,43.9
540,77.0,48.0,25.5,1,48.7
580,80.0,52.0,25.5,0,48.2
615,81.0,57.0,25.3,0,49.9
620,85.0,62.0,25.8,0,50.0
590,82.0,50.0,25.4,0,47.0
600,88.0,55.0,25.9,0,49.7
680,89.0,68.0,25.9,0,53.4
650,84.0,60.0,25.2,1,65.4
660,82.0,56.0,25.0,1,58.6
695,81.0,55.0,25.2,1,67.7
700,86.0,63.0,25.7,1,65.1
730,90.0,65.0,25.7,0,65.3
760,93.0,72.0,26.2,0,59.5
775,88.0,69.0,25.6,0,58.6
780,92.0,74.0,26.1,0,63.1
800,94.0,80.0,26.2,0,78.4
810,95.0,82.0,26.4,0,74.3
820,93.0,78.0,26.0,0,68.4
850,91.0,76.0,25.6,1,86.1
880,93.0,81.0,26.0,0,59.7
900,97.0,88.0,26.6,0,78.1
950,98.0,92.0,26.7,0,93.7
920,97.0,90.0,26.6,0,80.3
940,95.0,85.0,26.3,1,92.5
175,52.40003973439876,22.251353587419377,23.9,0,8.5
183,57.351411790978034,14.14689443403849,23.9,0,12.0
180,55.319601007918216,19.051272222969253,23.9,0,0.0
185,54.95799710623928,17.44086821727926,23.9,0,0.0
365,73.94447983857238,35.198092092683645,25.3,0,32.1
364,74.81810301742009,36.40252802675614,25.3,0,27.4
364,72.92187696020625,32.1233522,25.3,0,37.2
362,74.19612575326818,34.85022226704124,25.3,0,28.9
396,72.29767613899014,40.66762401602209,25.3,0,20.5
403,73.61367629,35.71501653351068,25.3,0,24.4
403,75.33077296388338,38.09633219309224,25.3,0,17.2
397,75.03183152898997,38.29246300902365,25.3,0,31.9
385,66.98396245903847,28.463271812785383,25.0,0,23.7
383,65.96556817938031,31.847938267726487,25.0,0,22.4
383,67.71513135586281,27.479530569112416,25.0,0,31.4
377,65.93879696,31.951778363474105,25.0,0,31.9
415,66.35788567076298,31.00347087813392,24.6,0,24.3
409,65.58040331,33.350057427422186,24.6,0,12.4
414,67.17857194487047,33.670786646324046,24.6,0,30.2
408,66.69728390767973,33.20273720846667,24.6,0,29.2
418,72.57822056459635,32.62853254,25.1,0,32.5
418,70.20082195910675,35.588882037121614,25.1,0,35.8
415,70.31214437193329,41.48482393370319,25.1,0,24.3
416,68.83542221,39.90483506377444,25.1,0,42.1
424,74.16278742503556,40.48825919531502,25.4,0,28.6
421,76.46555583,42.13367973937856,25.4,0,40.6
423,74.12818731937891,38.612944622006296,25.4,0,23.7
418,77.14493970314288,39.42608702535516,25.4,0,30.2
405,64.16678196,29.24164314199517,24.9,0,32.7
404,68.24290186013441,32.42727721,24.9,0,25.5
399,65.93186838415866,32.47561907323014,24.9,0,30.4
402,68.56397598491834,31.07196038083929,24.9,0,28.3
444,67.34518514733337,37.91083846030479,24.7,0,28.1
448,68.04565526500417,35.41248106323288,24.7,0,36.9
447,67.82649414949319,39.03748235618306,24.7,0,28.0
445,70.20186664726478,40.33959352808984,24.7,0,20.6
440,73.75378628872645,40.73010506386754,25.4,0,29.8
439,73.80070447,36.937996698125914,25.4,0,37.0
445,70.69325096911399,39.008259517195555,25.4,0,34.8
435,74.99943556680859,39.28356283391982,25.4,0,25.5
460,76.24807074446517,39.93120808681572,25.0,0,31.7
457,74.84378892116771,38.19914695997037,25.0,0,31.1
463,70.62494486272355,39.982900772298315,25.0,0,30.3
457,75.10077034364349,35.818038730422955,25.0,0,25.9
477,58.59433901,26.217550132909615,23.8,1,31.0
473,54.384855364028866,28.21638852314161,23.8,1,28.0
475,58.58169052838676,28.06555643657033,23.8,1,39.8
477,62.00444722830229,27.281933117580927,23.8,1,42.0
481,70.44818908739079,38.659990051915294,24.8,1,46.4
475,73.39796893810109,40.50533373774373,24.8,1,47.1
482,73.65825722804891,34.43371083703145,24.8,1,49.2
476,68.40062116812562,35.22027217578343,24.8,1,40.1
520,67.55828463110923,45.90545284044321,24.9,0,26.8
516,70.44444325725307,39.587581116492025,24.9,0,28.2
514,71.78378461862549,46.51437970368314,24.9,0,32.6
515,75.99182722922947,52.74158739802199,24.9,0,33.7
519,76.52615469992034,43.60386115780607,25.6,0,41.0
525,79.66927865585959,47.56117671406902,25.6,0,47.6
520,77.46975800235047,49.57762734075085,25.6,0,32.7
520,81.66495058,50.47114570233603,25.6,0,45.3
555,73.41086561793547,43.975951165886926,25.0,0,37.0
551,74.78423022731667,48.83865234754504,25.0,0,42.3
558,76.32568630368222,51.94821853306917,25.0,0,42.2
557,74.75176100365212,45.44516870074892,25.0,0,30.8
557,81.18693483866062,64.38540919730549,25.6,0,41.9
555,80.94653330193904,60.51546761120903,25.6,0,48.5
565,85.32893253,59.15485289831759,25.6,0,57.3
558,82.60840525585478,57.87771242,25.6,0,35.5
540,61.1151805037052,28.63504955897766,23.9,1,41.2
540,56.93598559058188,26.166187277041143,23.9,1,43.0
531,63.94772814102609,30.479974840720313,23.9,1,40.2
539,59.703404184725294,30.857478418807627,23.9,1,42.1
540,77.54845625340964,46.76721830749879,25.5,1,52.8
538,79.76572177514973,49.28626931538484,25.5,1,58.3
543,77.45808609305476,44.3265929,25.5,1,46.7
543,73.57960200188583,52.95278379669375,25.5,1,42.0
575,79.55120197,50.85043803659204,25.5,0,51.1
584,83.65361073060551,48.67886295386953,25.5,0,41.9
578,81.60831698672261,50.81618463142123,25.5,0,44.1
