release_days_since_2023,benchmark_score,agentic_score,compute_log10_flops,open_weights,grid_financial_cascade
180,55.0,20.0,23.9,0,7.0
365,72.0,35.0,25.3,0,34.5
400,74.0,37.0,25.3,0,24.9
380,68.0,30.0,25.0,0,30.5
410,65.0,33.0,24.6,0,19.6
415,71.0,37.0,25.1,0,24.7
420,75.0,40.0,25.4,0,28.6
400,67.0,32.0,24.9,0,39.7
445,69.0,39.0,24.7,0,29.0
440,74.0,42.0,25.4,0,23.0
460,73.0,41.0,25.0,0,32.0
475,58.0,28.0,23.8,1,34.1
480,70.0,38.0,24.8,1,41.4
515,71.0,44.0,24.9,0,32.9
520,79.0,50.0,25.6,0,32.9
555,76.0,49.0,25.0,0,32.7
560,83.0,58.0,25.6,0,37.1
535,60.0,30.0,23.9,1,40.4
540,77.0,48.0,25.5,1,54.1
580,80.0,52.0,25.5,0,22.6
615,81.0,57.0,25.3,0,40.4
620,85.0,62.0,25.8,0,34.2
590,82.0,50.0,25.4,0,25.2
600,88.0,55.0,25.9,0,37.7
680,89.0,68.0,25.9,0,44.6
650,84.0,60.0,25.2,1,54.3
660,82.0,56.0,25.0,1,61.3
695,81.0,55.0,25.2,1,48.5
700,86.0,63.0,25.7,1,59.1
730,90.0,65.0,25.7,0,40.0
760,93.0,72.0,26.2,0,47.8
775,88.0,69.0,25.6,0,46.7
780,92.0,74.0,26.1,0,42.6
800,94.0,80.0,26.2,0,56.1
810,95.0,82.0,26.4,0,53.6
820,93.0,78.0,26.0,0,39.4
850,91.0,76.0,25.6,1,57.5
880,93.0,81.0,26.0,0,52.5
900,97.0,88.0,26.6,0,56.1
950,98.0,92.0,26.7,0,59.3
920,97.0,90.0,26.6,0,58.2
940,95.0,85.0,26.3,1,77.2
175,52.40003973439876,22.251353587419377,23.9,0,14.9
183,57.351411790978034,14.14689443403849,23.9,0,0.7
180,55.319601007918216,19.051272222969253,23.9,0,1.7
185,54.95799710623928,17.44086821727926,23.9,0,1.5
365,73.94447983857238,35.198092092683645,25.3,0,25.3
364,74.81810301742009,36.40252802675614,25.3,0,31.6
364,72.92187696020625,32.1233522,25.3,0,19.6
362,74.19612575326818,34.85022226704124,25.3,0,8.4
396,72.29767613899014,40.66762401602209,25.3,0,15.4
403,73.61367629,35.71501653351068,25.3,0,19.1
403,75.33077296388338,38.09633219309224,25.3,0,22.1
397,75.03183152898997,38.29246300902365,25.3,0,22.9
385,66.98396245903847,28.463271812785383,25.0,0,19.5
383,65.96556817938031,31.847938267726487,25.0,0,18.4
383,67.71513135586281,27.479530569112416,25.0,0,25.3
377,65.93879696,31.951778363474105,25.0,0,16.2
415,66.35788567076298,31.00347087813392,24.6,0,14.6
409,65.58040331,33.350057427422186,24.6,0,23.3
414,67.17857194487047,33.670786646324046,24.6,0,11.7
408,66.69728390767973,33.20273720846667,24.6,0,22.9
418,72.57822056459635,32.62853254,25.1,0,23.2
418,70.20082195910675,35.588882037121614,25.1,0,22.3
415,70.31214437193329,41.48482393370319,25.1,0,34.9
416,68.83542221,39.90483506377444,25.1,0,20.8
424,74.16278742503556,40.48825919531502,25.4,0,38.9
421,76.46555583,42.13367973937856,25.4,0,26.2
423,74.12818731937891,38.612944622006296,25.4,0,18.1
418,77.14493970314288,39.42608702535516,25.4,0,27.1
405,64.16678196,29.24164314199517,24.9,0,12.6
404,68.24290186013441,32.42727721,24.9,0,16.6
399,65.93186838415866,32.47561907323014,24.9,0,22.9
402,68.56397598491834,31.07196038083929,24.9,0,24.0
444,67.34518514733337,37.91083846030479,24.7,0,19.4
448,68.04565526500417,35.41248106323288,24.7,0,28.3
447,67.82649414949319,39.03748235618306,24.7,0,30.6
445,70.20186664726478,40.33959352808984,24.7,0,33.3
440,73.75378628872645,40.73010506386754,25.4,0,29.9
439,73.80070447,36.937996698125914,25.4,0,33.5
445,70.69325096911399,39.008259517195555,25.4,0,14.2
435,74.99943556680859,39.28356283391982,25.4,0,24.5
460,76.24807074446517,39.93120808681572,25.0,0,21.3
457,74.84378892116771,38.19914695997037,25.0,0,26.2
463,70.62494486272355,39.982900772298315,25.0,0,21.9
457,75.10077034364349,35.818038730422955,25.0,0,23.7
477,58.59433901,26.217550132909615,23.8,1,47.0
